id,first_name,last_name,hired,position,benefited,licence_expiration,department,Pay_status
67-566-0829,Alfonso,Grigaut,8/26/2000,Doctor,false,2/15/2027,Billing,full-time
14-401-6569,Marcille,Rosendale,1/10/2017,Assistant,true,,Caretaker,full-time
82-083-3116,Bonnee,Pochon,10/15/2021,Management,false,7/31/2029,Caretaker,temporary
66-917-7973,Pryce,Tainton,1/24/2021,Management,false,,Billing,full-time
67-836-4097,Sylvester,Cicchetto,3/20/2004,Cleaner,true,8/23/2023,Caretaker,part-time
96-956-6240,Gracie,Mulvenna,10/23/2003,Tech,false,6/10/2025,Caretaker,part-time
98-576-2396,Joellyn,Pattinson,11/19/2004,Tech,true,10/27/2029,Medical,seasonal
46-420-6080,Iorgos,Joscelyne,11/23/2012,Cleaner,false,6/27/2026,Billing,seasonal
76-751-8421,Eimile,Forcer,2/13/2020,Management,false,8/27/2029,Caretaker,full-time
32-160-4423,Emlynne,Gresswell,12/6/2020,Tech,false,8/31/2022,Admininstrative,full-time
24-708-0472,Drona,Arp,11/8/2003,Doctor,false,8/24/2024,Medical,full-time
77-169-0813,Lacy,Pumphrey,1/16/2021,Finance,true,,Caretaker,temporary
49-240-1489,Ianthe,Barber,8/4/2006,Management,true,2/12/2024,Custodial,part-time
13-935-2104,Gerardo,Akroyd,10/23/2008,Doctor,true,8/1/2027,Admininstrative,seasonal
68-957-9606,Candra,Broadstock,5/7/2021,Receptionist,false,5/2/2029,Custodial,seasonal
38-873-8893,Amabelle,De Beneditti,6/4/2017,Management,true,2/20/2026,Caretaker,temporary
84-777-8040,Murry,Standeven,1/29/2001,Tech,false,12/16/2022,Billing,temporary
34-875-8991,Dorelia,Swayland,8/17/2010,Cleaner,false,,Admininstrative,temporary
34-892-0156,Grantley,Sacker,8/11/2006,Doctor,true,,Admininstrative,temporary
42-265-7709,Pepito,Feavyour,6/23/2022,Finance,false,11/22/2023,Billing,temporary
22-190-3053,Merwyn,Skellion,7/20/2009,Assistant,false,3/14/2022,Custodial,temporary
52-662-9407,Aridatha,Courtonne,5/23/2014,Receptionist,true,4/3/2025,Custodial,temporary
33-580-0886,Franky,Cokayne,12/14/2013,Assistant,false,1/19/2027,Medical,temporary
33-521-5289,Teodoor,Aasaf,1/27/2018,Assistant,false,,Billing,part-time
45-763-5712,Margret,Safe,12/30/2003,Cleaner,true,2/14/2026,Billing,full-time
01-133-4110,Lyndsay,Murdie,2/6/2006,Receptionist,true,,Medical,seasonal
13-269-0572,Wilfred,Scibsey,12/15/2014,Tech,false,4/23/2024,Medical,part-time
46-914-5154,Stillman,Toor,2/12/2008,Finance,true,12/3/2028,Billing,part-time
62-116-4914,Tammie,Dauber,8/24/2020,Cleaner,false,2/3/2028,Medical,full-time
24-254-4216,Minda,Gilchrest,11/12/1999,Management,false,4/9/2026,Custodial,seasonal
61-802-8478,Dore,Arlidge,5/1/2017,Receptionist,true,4/18/2025,Custodial,temporary
48-274-7058,Meyer,MacGinlay,1/31/2022,Cleaner,false,6/13/2026,Custodial,full-time
61-302-3678,Dulcine,Cleghorn,3/30/2002,Management,true,,Billing,temporary
03-081-1149,Ikey,Borres,4/11/2008,Tech,true,5/30/2030,Billing,part-time
67-515-7459,Harbert,Thorneloe,8/20/2020,Management,true,,Custodial,full-time
58-542-8952,Riccardo,Marvelley,12/17/2004,Tech,false,4/13/2026,Billing,part-time
70-711-4000,Bobby,Hancock,3/4/2006,Receptionist,true,12/6/2024,Custodial,full-time
21-729-7281,Ivy,Henmarsh,2/12/2003,Finance,true,,Caretaker,seasonal
18-412-6111,Janna,Noddles,8/20/2005,Assistant,true,6/1/2030,Billing,temporary
74-011-5827,Elfrida,Dymidowicz,4/9/2003,Doctor,true,2/23/2022,Medical,part-time
59-893-7304,Rebe,Codling,7/1/2001,Lab,true,8/24/2029,Caretaker,temporary
11-154-4056,Talbot,Dummer,9/17/2020,Management,false,11/18/2026,Caretaker,seasonal
85-780-7490,Coral,Wehnerr,4/12/2005,Doctor,false,,Caretaker,part-time
69-450-2178,Averil,Missenden,5/4/1999,Lab,false,6/8/2027,Billing,full-time
84-888-5567,Stinky,Hounsom,8/6/2010,Management,true,3/28/2026,Caretaker,temporary
01-850-7765,Gunther,Lieb,1/12/2005,Doctor,true,8/4/2028,Billing,seasonal
61-649-8056,Delcina,Syplus,12/1/2008,Assistant,false,7/10/2022,Medical,seasonal
42-293-5254,Mickie,Bockler,6/9/2008,Tech,true,,Admininstrative,seasonal
72-302-1450,Daniele,MacParland,6/14/2003,Doctor,true,9/30/2027,Medical,temporary
63-094-8903,Cynthie,McMurraya,1/28/2007,Cleaner,true,,Custodial,full-time
77-431-6362,Elayne,Oldridge,7/22/2011,Tech,true,7/31/2022,Admininstrative,full-time
32-354-9768,Silvano,O'Loghlen,2/25/2020,Tech,true,11/6/2026,Caretaker,part-time
65-281-2982,Jacqui,Windybank,9/4/2004,Assistant,false,11/27/2023,Medical,seasonal
27-469-2536,Emmott,Dellenbach,3/13/2021,Management,true,7/7/2022,Admininstrative,part-time
23-565-6409,Enrichetta,Plesing,1/22/2018,Assistant,true,12/5/2025,Caretaker,part-time
89-772-2057,Camilla,Kristoffersen,6/8/2018,Assistant,true,6/17/2026,Custodial,temporary
57-437-6837,Mortimer,McHardy,2/1/2003,Finance,false,4/23/2030,Custodial,seasonal
60-780-6877,Pavel,Jarry,3/26/2003,Doctor,false,,Admininstrative,temporary
89-949-1503,Margalit,Chitham,8/3/2004,Finance,true,5/24/2030,Caretaker,part-time
54-273-8471,Tristan,Tickner,8/3/2006,Doctor,false,1/18/2029,Caretaker,full-time
75-812-5524,Malissa,Loughton,1/22/2000,Assistant,false,5/30/2028,Admininstrative,full-time
04-211-3710,Denver,Ponting,10/2/2020,Cleaner,true,7/20/2027,Custodial,seasonal
05-528-6205,Devlin,Andreichik,2/11/2005,Assistant,true,9/10/2027,Medical,part-time
72-270-9705,Simone,Streetley,9/2/2020,Finance,false,3/5/2028,Custodial,seasonal
21-843-4619,Adriena,Bloyes,7/29/2005,Tech,true,5/26/2027,Billing,part-time
27-292-7433,Reamonn,Penreth,5/14/2022,Doctor,false,3/24/2029,Admininstrative,temporary
85-419-8724,Whitman,Green,8/27/1999,Finance,true,8/9/2027,Caretaker,temporary
37-776-7494,Katee,Tamas,11/2/2020,Doctor,false,2/6/2026,Medical,full-time
04-339-9406,Dedie,Burbank,2/20/2009,Assistant,true,,Medical,seasonal
44-045-2155,Neely,Germann,7/12/2014,Doctor,false,11/4/2024,Caretaker,part-time
84-246-3978,Ambrose,Greer,3/11/2016,Assistant,false,8/20/2023,Medical,seasonal
31-387-1364,Joye,Matusson,3/27/2017,Finance,false,7/2/2022,Custodial,temporary
54-449-2172,Kimmie,Pinshon,7/7/2004,Tech,true,7/28/2023,Medical,full-time
54-875-7521,Findlay,Elliott,5/15/2016,Management,true,9/25/2026,Medical,part-time
58-027-0337,Brandi,St. Ledger,5/22/2008,Management,true,,Custodial,temporary
46-853-5572,Codee,Gauford,9/19/2005,Receptionist,false,4/27/2030,Medical,seasonal
39-254-1200,Kaspar,Byrnes,10/30/2010,Lab,false,7/8/2022,Custodial,part-time
41-074-1500,Darcey,Philippsohn,7/15/2005,Tech,true,,Medical,full-time
89-278-8446,Edita,Scrymgeour,10/21/2004,Finance,true,9/29/2022,Medical,temporary
05-650-9908,Jabez,Gutsell,10/9/2008,Management,false,12/4/2023,Medical,part-time
85-150-8652,Torrance,De Caville,6/10/2019,Receptionist,true,7/2/2030,Caretaker,temporary
26-240-4897,Woody,Loble,4/6/2017,Cleaner,true,11/11/2026,Billing,seasonal
20-083-1131,Wallas,Ladbrooke,5/5/2019,Finance,false,4/17/2022,Caretaker,temporary
55-432-6931,Serena,Tomasoni,10/24/2022,Finance,true,7/11/2030,Medical,full-time
57-372-4091,Claybourne,Mulvagh,2/5/2001,Finance,true,6/2/2029,Medical,part-time
16-015-4002,Emmi,Coie,1/9/2015,Finance,true,7/2/2025,Medical,temporary
84-206-0052,Carolus,Bartelli,2/5/2018,Cleaner,false,,Billing,full-time
71-691-9040,Marlon,Weir,5/24/2021,Management,false,10/6/2029,Custodial,temporary
39-398-7609,Aldwin,Reville,7/19/2005,Receptionist,false,12/31/2023,Admininstrative,seasonal
81-953-7440,Lonnie,Culter,6/26/2013,Doctor,true,2/10/2026,Admininstrative,temporary
38-104-6820,Shaun,De Giovanni,7/31/2010,Assistant,true,8/6/2024,Caretaker,temporary
32-582-4960,Mechelle,Adiscot,3/30/2004,Doctor,true,6/15/2023,Custodial,part-time
47-342-9110,Lemar,Giordano,1/25/2020,Receptionist,false,12/4/2023,Billing,full-time
44-969-8162,Alvy,Milkin,6/5/2018,Cleaner,true,,Medical,seasonal
14-191-7645,Jackquelin,Resun,12/3/2007,Tech,false,12/13/2026,Custodial,part-time
36-861-0493,Desmond,Keohane,8/18/2000,Assistant,true,11/8/2030,Admininstrative,seasonal
27-104-1237,Rollin,Clegg,3/16/2003,Lab,true,12/14/2027,Caretaker,full-time
60-275-2860,Arin,Itter,11/11/2016,Management,false,,Admininstrative,temporary
37-400-7796,Aron,Warrior,6/15/2006,Cleaner,false,12/30/2029,Billing,full-time
37-709-8974,Giselle,Cordall,5/2/2012,Management,false,10/31/2030,Caretaker,full-time
17-512-7387,Flint,Becket,10/4/2009,Tech,false,11/17/2029,Billing,part-time
47-162-4701,Pacorro,Kielt,5/3/2005,Receptionist,true,7/5/2027,Medical,part-time
79-568-4771,Alf,Ellingsworth,7/20/2014,Lab,false,,Custodial,part-time
15-252-6838,Zachariah,Bannister,12/11/2015,Tech,true,8/21/2023,Caretaker,part-time
57-963-4465,Ophelie,Stoppard,9/22/2007,Finance,true,9/25/2027,Admininstrative,temporary
33-464-2271,Edik,Meneyer,10/13/2009,Tech,true,11/30/2025,Custodial,part-time
62-567-3796,Ursala,Cassin,1/6/2016,Finance,true,3/12/2023,Billing,full-time
96-112-7208,Durward,Stainer,10/23/2003,Assistant,false,11/28/2029,Custodial,temporary
31-594-2596,Mignon,Kopec,12/17/2001,Assistant,false,2/25/2030,Medical,full-time
02-744-1389,Karlan,Lintott,9/29/2015,Doctor,false,4/15/2027,Medical,full-time
26-207-1008,Vincents,Jenton,9/22/2008,Finance,true,3/6/2029,Medical,part-time
27-508-8692,Cordey,Jobb,5/12/2011,Finance,false,6/24/2027,Caretaker,full-time
09-215-1693,Grannie,Kleinsinger,1/20/2019,Cleaner,true,6/13/2029,Caretaker,full-time
72-000-7821,Gwyn,Tooze,9/25/2007,Doctor,false,12/20/2025,Billing,temporary
73-112-8681,Anitra,Etter,8/2/2013,Lab,false,3/18/2026,Admininstrative,part-time
79-738-1260,Deanna,Skures,4/4/2007,Doctor,true,,Caretaker,temporary
95-409-5169,Jemie,Czadla,11/28/2022,Lab,false,5/4/2024,Custodial,part-time
72-272-0276,Penni,Halkyard,12/9/2022,Lab,false,6/21/2024,Medical,part-time
08-722-3190,Devlen,Pechard,10/17/2004,Receptionist,false,,Custodial,temporary
45-089-1962,Herby,Verey,2/3/2015,Tech,false,8/3/2027,Admininstrative,temporary
97-809-4312,Ailene,Ewin,2/26/2002,Cleaner,false,3/15/2028,Custodial,part-time
46-753-4890,Dianne,Curreen,9/19/2010,Receptionist,false,3/4/2024,Custodial,full-time
65-452-3073,Pietra,Briscam,12/10/2004,Lab,false,6/2/2023,Medical,full-time
47-128-3318,Mavis,Ivanuschka,8/2/2004,Assistant,true,2/3/2028,Medical,temporary
54-718-1650,Juditha,Sattin,1/5/2000,Assistant,false,3/28/2027,Admininstrative,full-time
45-251-0057,Britte,Dignall,1/25/2006,Assistant,false,,Caretaker,seasonal
76-157-0729,Carce,Blythe,3/28/2011,Assistant,true,,Medical,part-time
74-364-3015,Pegeen,Abbs,4/3/1999,Cleaner,true,12/3/2030,Custodial,temporary
82-783-9133,Justino,Tumulty,10/10/2017,Finance,false,5/17/2023,Medical,part-time
05-026-0587,Douglass,Scrafton,10/30/2018,Assistant,false,4/19/2029,Caretaker,temporary
90-845-3834,Rhea,Stukings,4/15/2022,Doctor,false,5/22/2025,Billing,part-time
33-302-2416,Serena,Phillpot,9/7/2000,Doctor,false,4/10/2023,Admininstrative,part-time
77-508-1539,Jethro,Bosnell,9/16/2017,Doctor,false,10/30/2027,Caretaker,full-time
82-451-3360,Mabelle,Dunckley,2/27/2004,Finance,true,2/25/2030,Custodial,seasonal
88-228-2101,Palm,Sultana,4/18/2003,Cleaner,true,,Billing,full-time
01-589-7089,Tedra,Quilty,12/5/2022,Assistant,false,6/4/2030,Admininstrative,full-time
67-117-9088,Siffre,Di Baudi,7/7/2015,Assistant,true,5/29/2030,Caretaker,part-time
11-783-8738,Hendrick,Guiraud,8/7/2007,Management,true,8/13/2024,Custodial,full-time
63-788-5698,Giles,Ashburne,10/25/2019,Cleaner,false,1/26/2029,Billing,seasonal
34-113-3235,Abey,Zamudio,1/8/2018,Cleaner,false,7/28/2026,Medical,seasonal
18-644-7348,Ignace,De Launde,5/25/2014,Management,false,4/30/2027,Medical,temporary
99-103-0196,Carmelle,Guise,11/27/1999,Finance,true,9/10/2022,Billing,full-time
44-717-1372,Vin,McGrady,1/15/2013,Doctor,true,,Admininstrative,temporary
98-207-9347,Donelle,Burchmore,1/1/2001,Finance,false,4/24/2028,Custodial,seasonal
78-886-2063,Arvy,Markushkin,5/19/2010,Management,true,8/14/2022,Caretaker,part-time
15-953-3475,Tanner,Aingel,7/6/2006,Lab,false,9/14/2029,Admininstrative,seasonal
78-383-5228,Jenna,Duprey,9/5/2001,Lab,true,,Custodial,part-time
65-007-3236,Addi,Gerrey,5/30/2020,Doctor,false,,Custodial,temporary
35-037-7417,Melessa,Battye,11/9/2003,Lab,true,,Caretaker,full-time
25-700-2710,Luci,Elks,7/9/2013,Assistant,true,12/31/2023,Billing,temporary
37-270-4420,Peta,Malim,6/7/2021,Assistant,true,,Admininstrative,part-time
10-255-6344,Emmie,Stronack,3/4/2020,Finance,false,10/13/2022,Caretaker,temporary
37-817-4815,Rinaldo,Birk,7/19/2000,Assistant,false,10/26/2027,Admininstrative,temporary
35-251-7070,Miguel,Margiotta,9/3/2004,Management,false,,Billing,temporary
92-073-1689,Rem,Snaith,9/22/2011,Lab,false,6/3/2022,Medical,seasonal
98-817-3389,Lazare,Murkitt,12/31/2000,Receptionist,true,,Admininstrative,seasonal
99-469-9532,Richie,Dykas,8/23/2016,Lab,false,,Medical,temporary
19-242-8203,Whitman,Dog,7/11/2003,Lab,true,,Caretaker,temporary
69-067-4360,Peggie,Devigne,10/27/2010,Cleaner,true,,Medical,full-time
80-641-3090,Carolann,Ropartz,7/23/1999,Lab,true,12/11/2030,Medical,part-time
05-733-4550,Deidre,Murrell,3/19/2002,Management,true,3/14/2025,Medical,temporary
25-626-0124,Horatio,Roon,9/12/2000,Doctor,false,5/16/2030,Custodial,part-time
09-765-3174,Min,Henri,12/3/2018,Finance,true,11/6/2027,Custodial,temporary
72-273-3457,Baxie,Syred,7/30/2004,Management,true,10/11/2029,Caretaker,full-time
03-855-0755,Vin,Donlon,3/1/2011,Finance,false,5/17/2027,Admininstrative,full-time
31-584-3462,Kim,Raffan,1/31/2014,Cleaner,false,4/22/2026,Billing,seasonal
88-961-2059,Lauree,Pillington,10/1/2006,Doctor,false,,Custodial,part-time
83-254-8388,Peggi,Baylis,1/16/2003,Assistant,true,9/26/2025,Caretaker,part-time
42-958-8898,Herta,Besemer,1/9/2014,Lab,false,12/23/2025,Caretaker,temporary
22-820-4610,Gabriell,Coon,7/5/2002,Doctor,true,12/4/2025,Billing,temporary
70-463-1397,Emlynne,Stockhill,12/25/2021,Assistant,true,7/29/2023,Medical,seasonal
26-606-1404,Siouxie,Coppock.,12/12/2015,Finance,true,4/8/2028,Custodial,full-time
81-352-3955,Karlik,Cradey,3/25/2002,Management,false,12/21/2027,Caretaker,part-time
66-480-1617,Loree,Corre,12/1/2005,Lab,false,,Admininstrative,temporary
40-594-4818,Evangelina,Vice,4/28/2000,Assistant,true,3/23/2024,Medical,seasonal
54-127-1888,Yehudit,Banat,3/16/2022,Lab,false,9/18/2030,Medical,temporary
68-511-1763,Aeriel,Spencock,11/3/2012,Tech,false,,Admininstrative,part-time
20-635-5371,Grethel,Coit,9/18/2021,Assistant,false,,Caretaker,full-time
18-549-2461,Merilyn,Bastock,8/30/2010,Doctor,false,7/3/2025,Custodial,temporary
42-339-4563,Sheela,Rakestraw,3/7/2019,Tech,false,4/2/2026,Caretaker,seasonal
33-849-6186,Astrix,Silmon,11/22/2004,Management,true,8/19/2023,Custodial,full-time
08-253-5817,Sebastiano,Doddemeade,12/4/2015,Receptionist,true,2/21/2023,Billing,seasonal
42-491-8148,Lynelle,Wadsworth,8/18/2020,Management,false,3/8/2030,Admininstrative,full-time
39-643-4879,Zelma,Give,5/13/2000,Assistant,true,11/19/2027,Admininstrative,temporary
30-817-4089,Oralee,McNirlin,11/8/2011,Finance,false,4/20/2028,Billing,seasonal
27-166-1317,Bevvy,Rolfs,11/3/2022,Receptionist,true,,Medical,temporary
48-391-4136,Bebe,Margeram,12/17/2018,Doctor,true,7/17/2026,Medical,seasonal
07-905-3060,Petunia,Pearlman,11/28/2022,Receptionist,false,12/19/2024,Medical,part-time
82-906-3231,Dorella,Adrienne,3/14/2019,Management,false,3/14/2029,Custodial,seasonal
13-483-2424,Jermaine,Punshon,10/4/2013,Finance,false,1/8/2023,Custodial,part-time
50-154-2555,Bernadina,Ludwig,6/30/2022,Doctor,false,10/20/2022,Billing,part-time
53-903-9731,Winslow,Fullard,4/10/2022,Lab,false,6/27/2029,Medical,full-time
77-444-9930,Minnaminnie,Woan,12/23/2010,Cleaner,false,9/7/2022,Caretaker,part-time
41-816-4248,Ellsworth,Mahody,1/18/2014,Finance,true,,Custodial,full-time
40-135-2022,Berry,Philipot,8/24/2016,Lab,false,,Caretaker,full-time
12-650-9906,Donia,Schlagh,7/24/2010,Assistant,false,,Medical,seasonal
78-034-1250,Prince,Frantsev,5/14/1999,Assistant,true,5/8/2024,Medical,temporary
87-619-1751,Kyla,Drake,8/26/2006,Receptionist,false,,Custodial,temporary
73-844-9401,Carolee,Macro,12/11/2017,Finance,true,6/25/2024,Billing,seasonal
32-559-2403,Andy,Tankus,2/20/2015,Receptionist,false,9/15/2027,Custodial,part-time
68-642-0506,Francoise,Ales0,8/25/2021,Finance,false,,Admininstrative,part-time
61-014-5566,Theodore,Tanman,3/10/2022,Receptionist,true,7/24/2029,Admininstrative,temporary
27-132-3243,Belia,McClenan,2/3/2007,Assistant,false,,Medical,full-time
15-780-2712,Robin,Salamon,10/5/2001,Assistant,false,11/7/2025,Billing,temporary
37-739-6835,Jacky,Maryska,4/26/2009,Assistant,true,4/28/2030,Medical,full-time
50-494-0077,Bebe,Count,8/23/2016,Cleaner,true,11/1/2022,Billing,part-time
71-372-0359,Brnaby,Reuss,12/31/2015,Cleaner,false,5/20/2024,Admininstrative,seasonal
50-627-9998,Linnie,Wharrier,8/30/2010,Assistant,false,,Admininstrative,part-time
44-568-4902,Cosette,Dunphy,5/13/2021,Receptionist,false,,Caretaker,part-time
71-013-7860,Velvet,MacDonnell,4/9/2003,Receptionist,false,8/23/2027,Admininstrative,temporary
37-066-3461,Ethelda,Swendell,1/17/2014,Finance,false,,Caretaker,seasonal
41-448-2939,Marshall,Epinoy,11/2/2012,Tech,false,,Admininstrative,full-time
87-387-7133,Rupert,Christoffe,1/6/2003,Assistant,false,,Billing,seasonal
87-080-0455,Carny,Lockie,11/10/2010,Doctor,false,9/19/2026,Medical,full-time
51-311-6692,Barri,Heinsen,6/8/2010,Assistant,false,1/26/2029,Admininstrative,full-time
03-309-8784,Godiva,Fulker,2/19/2018,Cleaner,false,5/19/2024,Medical,part-time
24-574-4492,Daryl,Cottill,9/19/2009,Management,true,6/1/2022,Admininstrative,temporary
67-970-4431,Howard,Millichap,7/11/2012,Assistant,true,8/2/2025,Caretaker,seasonal
47-544-4230,Pearle,Hallowell,2/18/1999,Assistant,true,8/15/2024,Caretaker,seasonal
14-707-0772,Corrie,Bache,6/25/2009,Tech,false,9/14/2028,Medical,part-time
37-454-6094,Edmon,Nansom,4/2/2008,Tech,false,12/15/2022,Billing,full-time
69-759-1167,Kylie,Kinkaid,6/29/2011,Lab,true,11/6/2022,Admininstrative,temporary
91-587-7738,Caroline,Lovell,1/6/2013,Lab,true,2/11/2025,Billing,part-time
12-873-3281,Izabel,Gowland,3/31/2019,Receptionist,true,,Medical,part-time
68-162-4860,April,Novotni,12/28/2021,Receptionist,true,8/29/2028,Medical,temporary
65-050-6690,Forest,Rolfo,5/26/2009,Cleaner,true,11/26/2030,Medical,seasonal
87-119-3662,Rivi,Torbard,12/26/2001,Management,false,11/11/2022,Medical,full-time
94-155-4279,Titos,Hucker,12/14/2010,Cleaner,false,12/6/2029,Custodial,part-time
37-062-4509,Ernesto,Boyall,1/3/2007,Assistant,false,,Caretaker,part-time
19-956-5976,Ulrick,Feechum,10/7/2000,Tech,false,8/28/2028,Admininstrative,full-time
69-230-1484,Kimberlyn,Barthelemy,11/15/2021,Doctor,true,10/18/2030,Caretaker,full-time
03-758-1329,Saudra,Burrus,5/12/2004,Doctor,true,8/16/2024,Caretaker,temporary
10-893-6508,Sephira,Rollett,7/5/2013,Receptionist,true,4/4/2022,Billing,temporary
63-083-7695,Chas,Alu,9/1/2005,Doctor,true,6/24/2023,Medical,full-time
20-890-9124,Carlyle,McMahon,3/29/2010,Assistant,false,10/30/2027,Admininstrative,part-time
